genero,especie,numero,fechapol,fechamad,codigo,ubicacion,responsable,cantidad,disponible,archivo_origen
Gongora,cassidea,B-001620,18-jun-14,18-Dec-14,PIS3852,V-0,MANUEL RUIZ,1,0,SIBBLING_STEFY.XLS
Dendrobium,bullenianum,B-000835,26-nov-12,08-may-13,PIS3853,V-16 M-1F,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Dendrobium,bullenianum,B-000846,11-Jan-13,15-may-13,PIS3853,V-16 M-1F,CARLOS GUACHISACA,3,0,SIBBLING_STEFY.XLS
Dendrobium,farmeri,B-007433,14-oct-22,30-Jan-24,PIS3855,V-5 M-4B,CARLOS GUACHISACA,2,0,SIBBLING_STEFY.XLS
Dendrobium,farmeri,B-007281,15-oct-22,07-nov-23,PIS3855,V-5 M-4B,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Dendrobium,farmeri,B-000690,12-Apr-12,06-Dec-12,PIS3855,V-16 M-2E,CARLOS GUACHISACA,2,0,SIBBLING_STEFY.XLS
Dendrobium,farmeri,B-001141,14-Dec-13,21-feb-14,PIS3855,V-5 M-4B,ANGEL GUACHISACA,3,0,SIBBLING_STEFY.XLS
Dendrobium,farmeri,B-007395,15-Jan-23,23-Jan-24,PIS3855,V-5 M-4B,CARLOS GUACHISACA,4,0,SIBBLING_STEFY.XLS
Dendrobium,farmeri,B-000500,19-Dec-11,16-jul-12,PIS3855,V-16 M-2E,BARROSO ARTURO,3,0,SIBBLING_STEFY.XLS
Dendrobium,macrophyllum,B-000618,21-feb-12,05-oct-12,PIS3856,V-16 M-2E,CARLOS GUACHISACA,3,0,SIBBLING_STEFY.XLS
Dendrobium,macrophyllum,B-000635,21-feb-12,15-oct-12,PIS3856,V-16 M-2E,CARLOS GUACHISACA,3,0,SIBBLING_STEFY.XLS
Dendrobium,macrophyllum,B-000203,03-feb-11,31-Aug-11,PIS3856,V-16 M-2E,CARLOS GUACHISACA,3,0,SIBBLING_STEFY.XLS
Cattleya,nobilior,B-002688,30-jun-16,30-sep-16,PIS3857,V-6 M-1B,REINALDO BASTIDAS,1,0,SIBBLING_STEFY.XLS
Paphiopedilum,liemianum,B-003058,17-Jan-17,17-Jan-17,PIS3859,V-116 P-F,,1,0,SIBBLING_STEFY.XLS
Paphiopedilum,liemianum x sib ('#1' x 'Hsinying'),B-002094,29-oct-14,13-oct-15,PIS3859,V-5 M-4A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Paphiopedilum,liemianum,B-002130,21-Jan-15,08-Dec-15,PIS3859,V-5 M-4A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Paphiopedilum,liemianum,B-006215,21-may-21,24-Jan-22,PIS3859,V-5 M-3A,CARLOS GUACHISACA,2,0,SIBBLING_STEFY.XLS
Paphiopedilum,liemianum x sib ('#1' x 'Hsinying'),B-003231,21-Jan-17,12-sep-17,PIS3859,V-5 M-4A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Paphiopedilum,liemianum,B-002403,17-Aug-15,22-Apr-16,PIS3859,V-2 M-15A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Paphiopedilum,liemianum x sib ('#1' x 'Hsinying'),B-003405,21-Jan-17,08-nov-17,PIS3859,V-5 M-4A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Paphiopedilum,liemianum x sib ('#1' x 'Hsinying'),B-003452,22-mar-17,28-nov-17,PIS3859,V-5 M-4A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Dendrobium,harveyanum,B-007823,07-feb-24,21-Aug-24,PIS3861,V-16 M-4D,CARLOS GUACHISACA,2,0,SIBBLING_STEFY.XLS
Dendrobium,harveyanum,B-007303,14-Apr-23,14-nov-23,PIS3861,V-16 M-4D,CARLOS GUACHISACA,2,0,SIBBLING_STEFY.XLS
Epidendrum,pseudepidendrum,B-003156,23-Jan-17,23-Jan-17,PIS3863,V-101 P-C,,1,0,SIBBLING_STEFY.XLS
Lycaste,brevispatha,B-001205,15-Aug-13,22-Apr-14,PRS3864,V-5 M-2B,CARLOS GUACHISACA,2,0,SIBBLING_STEFY.XLS
Lycaste,brevispatha,B-000604,01-Dec-11,02-oct-12,PRS3864,V-16 M-3E,ANGEL GUACHISACA,3,0,SIBBLING_STEFY.XLS
Lycaste,brevispatha,B-003984,13-oct-17,21-Aug-18,PRS3864,V-5 M-2B,CARLOS GUACHISACA,3,0,SIBBLING_STEFY.XLS
Lycaste,brevispatha,B-007568,28-sep-23,06-Apr-24,PRS3864,V-0,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Dendrochilum,wenzelii,B-000483,03-Apr-12,14-jun-12,PIS3865,V-4 M-5A,EDISON LOJANO,4,0,SIBBLING_STEFY.XLS
Encyclia,stellata,B-003964,27-feb-18,10-Aug-18,PIS3868,V-5 M-4C,CARLOS GUACHISACA,4,0,SIBBLING_STEFY.XLS
