genero,especie,numero,fechapol,fechamad,codigo,ubicacion,responsable,cantidad,disponible,archivo_origen
Cattleya,Sapphirata coerulea x Laelia tenebrosa,H-002372,13-Jan-23,08-Aug-23,PRH16904,V-34 M-23A,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Cattleya,Misty Girl Autumn Symphony 4385 # 1 x Lc. Tainan City ' General' X Rlc. Ingrid de Portilla,H-002373,01-jun-23,11-Aug-23,PRH16905,V-31 M-48A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Odontioda,San Francisco x Oda. Florence Stirling X Odontioda Bomboiza 'San Francisco',H-002374,23-Aug-22,11-Aug-23,PRH16906,V-0,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Coryanthes,alborosea x Gongora fulva,H-002375,06-jun-23,17-Aug-23,PRH16952,V-0,JORGE CASTILLO,1,0,HIBRID_STEFY.XLS
Coryanthes,alborosea alba x Stanhopea reichenbachiana,H-002376,06-jun-23,10-Aug-23,PRH16962,V-0,JORGE CASTILLO,1,0,HIBRID_STEFY.XLS
Miltoniopsis,Mary Sugiyama x Miltoniopsis Pearl Ono,H-002377,05-Dec-22,22-Aug-23,PRH17026,V-0,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Dendrobium,KS 11 Jairak Lavander x Dendrobium Enobi,H-002378,09-Apr-23,23-Aug-23,PRH17027,V-7 M-3B,HUGO ROCANO,1,0,HIBRID_STEFY.XLS
Rhyncholaeliocattley,Memoria Nestor Tovar x Schomburgkia splendida,H-002379,06-mar-23,29-Aug-23,PRH17035,V-31 M-50B,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Cattleya,Batemaniana x Brassavola cucullata,H-002380,01-mar-23,29-Aug-23,PRH17036,V-31 M-50B,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Cattleya,iricolor x Cattleya leopoldii X Cattleya dormaniana,H-002381,16-feb-23,29-Aug-23,PRH17037,V-0,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Laelia,speciosa x Laellia purpurata var. atropurpurea,H-002382,25-Jan-23,30-Aug-23,PRH17062,V-16 P-C,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Encyclia,alboxanthina x Encyclia vitellina,H-002383,01-feb-23,01-sep-23,PRH17063,V-32 M-55D,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Rhyncholaeliocattley,Village Chief Chanel X Spl. India Rose Sherwood 'kiilani' x Lc. Tainan City 'General',H-002384,25-mar-23,25-mar-23,PRH17064,V-32 M-1A,MILTON GOMEZ,1,0,HIBRID_STEFY.XLS
Psychopsis,versteegiana x Brassia arcuigera,H-002385,17-may-23,04-sep-23,PRH17073,V-0,GEOVANNY ZHIÑIN,1,0,HIBRID_STEFY.XLS
Psychopsis,versteegiana x Brassia cochleata,H-002386,17-may-23,04-sep-23,PRH17074,V-0,GEOVANNY ZHIÑIN,1,0,HIBRID_STEFY.XLS
Psychopsis,versteegiana x Brassia caudata,H-002387,17-may-23,04-sep-23,PRH17075,V-0,GEOVANNY ZHIÑIN,1,0,HIBRID_STEFY.XLS
Lycaste,Hanase x Lyc. Shoalhaven 'Kobe' 2N x 4N X Lycaste Nathalie Cely,H-002388,18-nov-22,06-sep-23,PRH17095,V-34 M-28A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Cycnoches,Ecuagenera x Cycnoches herrenhusanum,H-002389,05-Apr-23,09-sep-23,PRH17098,V-0,JORGE CASTILLO,1,0,HIBRID_STEFY.XLS
Cattlianthe,Michael Riley x Cattleya Batemaniana,H-002390,11-Apr-23,12-sep-23,PRH17099,V-32 M-2A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Paphiopedilum,Wossner China Moon x Paphiopedilum Michael Koopowitz,H-002391,15-oct-22,13-sep-23,PRH17156,V-5 M-4A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Cattleya,Netrasiri Dark Prince Ruby Wax x Schomburgkia splendida,H-002392,06-mar-23,13-sep-23,PRH17157,V-32 M-2A,CARLOS GUACHISACA,3,0,HIBRID_STEFY.XLS
Lepanthes,delhierroi x Lepanthes dalessandroi,H-002393,24-jun-23,14-sep-23,PRH17159,V-15 M-3A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Cattleya,Valda (1901) 'Pepe' x Sophronitis coccinea,H-002394,28-oct-22,15-sep-23,PRH17160,V-16 M-2B,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Oncidium,Guann Shin Sweetheart 'Guann Shin#2' x Oncidium Cholita Cuencana,H-002395,12-jul-22,19-sep-23,PRH17163,V-34 M-23A,CARLOS GUACHISACA,3,0,HIBRID_STEFY.XLS
Cyrtoniopsis,Gigi Portilla x Miltoniopsis Angel Tears,H-002396,31-Jan-23,19-sep-23,PRH17165,V-37 M-25C,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Cattleya,Patricio Almeida x Cattleya Miss World Ecuador,H-002397,01-may-23,25-sep-23,PRH17254,V-0,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Oncidium,Lois Posey x Otoglossum candelabrum,H-002398,02-may-23,27-sep-23,PRH17255,V-0,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Lepanthes,delhierroi x Lepanthes domingensis,H-002399,21-jul-23,27-sep-23,PRH17256,V-15 M-3A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Oncidium,sotoanum x Rossioglossum ampliatum,H-002400,16-jun-23,30-sep-23,PRH17259,V-0,JORGE CASTILLO,1,0,HIBRID_STEFY.XLS
Epidendrum,stamfordianum x Cattleya Gemma (1899),H-002401,06-jun-23,30-sep-23,PRH17260,V-0,JORGE CASTILLO,1,0,HIBRID_STEFY.XLS
Rossioglossum,ampliatum x Psychopsis versteegiana,H-002402,16-jun-23,30-sep-23,PRH17261,V-0,JORGE CASTILLO,1,0,HIBRID_STEFY.XLS
Rhyncattleanthe,Rosa Amelia Alvarado x Laelioocattleya Gold Digger Fuchs Monderin,H-002403,21-nov-22,03-oct-23,PRH17263,V-31 M-29A,IVAN TACURI,1,0,HIBRID_STEFY.XLS
Oncidium,Gladys Eljuri x Oncidium Lois Posey,H-002404,04-nov-22,03-oct-23,PRH17264,V-0,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Rhyncholaeliocattley,Ingrid de Portilla x Rhyncholaeliocattleya Lawless Romeo Delight,H-002405,12-jul-22,29-sep-23,PRH17284,V-32 M-2A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Phragmipedium,Robert-Jan Quené X Phragmipedium Saint Ouen ('albino' h00864 x f. flavum),H-002406,01-jul-23,07-oct-23,PRH17304,V-2 M-13A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Lycaste,Sulphurea x Lyc Kiama 'Miss Kobe' X Lycaste Memoria Kageyuki Mito,H-002407,19-sep-22,07-oct-23,PRH17305,V-34 M-2C,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Cattlianthe,Andean Honey x Schomburgkia undulata xanthina,H-002408,11-Apr-23,10-oct-23,PRH17306,V-32 M-2A,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Oncidium,Hilda Plumtree Purple Wings Bm /13 Woc x Odontocidium Catatante Pacific Command Taida Sunset,H-002409,07-oct-22,10-oct-23,PRH17307,V-0,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Psychopsis,Mariposa Green Valley x Brassia wageneri type,H-002410,06-jul-23,13-oct-23,PRH17319,V-0,JORGE CASTILLO,1,0,HIBRID_STEFY.XLS
Rossioglossum,ampliatum x Brassia wageneri type,H-002411,20-jul-23,17-oct-23,PRH17322,V-0,MILTON GOMEZ,4,0,HIBRID_STEFY.XLS
Lycaste,Katsuragawa Yellow Bird SM/JGP x Canary SM/JOGA X Lyc. Gs 427 Yellow Fantasy (lyc. Auburm Dichling x Mem Kageyuki M),H-002412,18-oct-22,17-oct-23,PRH17323,V-34 M-24A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Cattleya,longipes x Encyclia Doctor Ben,H-002413,06-mar-23,17-oct-23,PRH17324,V-32 M-3C,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Phragmipedium,Olaf Gruss x Phragmipedium Fritz Schomburg 'Camila' X Phragmipedium Peruflora's Cirila Alca,H-002414,01-Aug-23,17-oct-23,PRH17325,V-0,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Lepanthes,regularis x Lepanthes myiophora,H-002415,21-jul-23,26-oct-23,PRH17359,V-34 M-23A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Sophronitis,bicolor x Sophronitis coccinea,H-002416,17-Jan-23,27-oct-23,PRH17360,V-16 P-C,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Lycaste,Shoalhaven Moriyana x Lycaste Shoalhaven Kyoto Sm/jgp (gs399) X Anguloa ruckeri,H-002417,09-feb-23,27-oct-23,PRH17361,V-34 M-21A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Cattleya,Cruella x C. Fredis J. Refunjol X Ctt. Andean Honey,H-002418,06-Apr-23,27-oct-23,PRH17362,V-31 M-42B,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Houlletia,tigrina x Coryanthes alborosea,H-002419,23-may-23,28-oct-23,PRH17363,V-0,JORGE CASTILLO,1,0,HIBRID_STEFY.XLS
Houllinia,Alex Hirtz x Stanhopea anfracta,H-002420,17-may-23,28-oct-23,PRH17364,V-0,JORGE CASTILLO,1,0,HIBRID_STEFY.XLS
Cattleya,intermedia 'Big Pink' x 'Aquimi' X Laeliocattleya Uzhupud Garden,H-002421,06-jun-23,28-oct-23,PRH17365,V-0,JORGE CASTILLO,1,0,HIBRID_STEFY.XLS
Masdevallia,Elizabeth Yanza X Masdevallia Lucy Roessiger x Masdevallia Marcelo Bejarano,H-002422,23-may-23,01-nov-23,PRH17368,V-25 M-6B,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Miltoniopsis,Guidos Dream x Miltoniopsis Angel Tears,H-002423,28-nov-22,07-nov-23,PRH17378,V-0,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Phragmipedium,Glen Decker x Phragmipedium Peruflora's Cirila Alca,H-002424,25-jul-23,07-nov-23,PRH17379,V-34 M-19A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Cattleya,Carlitos G. 'Ecuagenera' x Laelia tenebrosa,H-002425,11-may-23,07-nov-23,PRH17380,V-31 M-50B,CARLOS GUACHISACA,3,0,HIBRID_STEFY.XLS
Cattleya,longipes x Laelia cinnabarina,H-002426,06-Apr-23,07-nov-23,PRH17381,V-32 M-4D,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Potinara,Irene Fell Ruby Red x Laeliocattleya Mi Morena,H-002427,13-may-23,07-nov-23,PRH17382,V-0,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Pridgeonia,insignis x Pescatoria wallisii,H-002428,05-Aug-23,07-nov-23,PRH17383,V-0,HENRY LOZANO,1,0,HIBRID_STEFY.XLS
Laelia,rubescens x Cattleya hoehnei,H-002429,14-jun-23,07-nov-23,PRH17384,V-0,HENRY LOZANO,1,0,HIBRID_STEFY.XLS
Oncidium,sotoanum x Oncidium Jiuhbao Gold 'Tainan',H-002430,14-jul-23,07-nov-23,PRH17385,V-0,HENRY LOZANO,1,0,HIBRID_STEFY.XLS
Dendrobium,Long Hidden Money type x Dendrobium Enobi,H-002431,12-jun-23,08-nov-23,PRH17414,V-7 M-3B,HUGO ROCANO,1,0,HIBRID_STEFY.XLS
Cattleya,Mainau-Zauber x Rhyncholaeliocattleya Burdekin Wonder 'lake Land',H-002432,27-Jan-23,08-nov-23,PRH17415,V-10 M-8A,HUGO ROCANO,1,0,HIBRID_STEFY.XLS
Sobralia,callosa x Sobralia yauaperyensis,H-002433,14-sep-23,11-nov-23,PRH17422,V-7 M-42A,JORGE CASTILLO,2,0,HIBRID_STEFY.XLS
Sarcochilus,Kulnura Spice Intense x Sarcochilus Fairy 'Scarlet' Rojo X Sarcochilus Amber Yellow Delight x Sunny 'Steve H',H-002434,25-Apr-23,14-nov-23,PRH17423,V-0,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Rhyncattleanthe,Rosa Amelia Alvarado x Cattleya Fire Magic,H-002435,13-may-23,14-nov-23,PRH17424,V-0,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Cattlianthe,Andean Honey x Cattleya Fire Magic 'Solar Flame',H-002436,06-mar-23,14-nov-23,PRH17425,V-31 M-50B,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Oncidium,Twinkle 'Yellow Fantasy' x Zelenkoa onusta,H-002437,16-jun-23,14-nov-23,PRH17426,V-32 M-3C,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Cattleya,Batemaniana x Rhyncholaeliocattleya Hawaiian Prominence America,H-002438,11-mar-23,15-nov-23,PRH17428,V-31 M-50B,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Phragmipedium,Tupac Amaru x Phragmipedium Peruflora's Cirila Alca,H-002439,04-Aug-23,18-nov-23,PRH17429,V-34 M-19A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Cattleya,Batemaniana X Sophronitis coccinea special x Laelia harpophylla x Blc. Chocolate Drop x Orange Nugett,H-002440,11-may-23,18-nov-23,PRH17430,V-31 M-50B,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Brassocattleya,Fuchs Star x Cattleya Lucia Fernandez,H-002441,25-jul-23,20-nov-23,PRH17431,V-0,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Rhyncholaeliocattley,El Cisne x Rhyncholaeliocattleya Ingrid de Portilla,H-002442,28-Dec-22,20-nov-23,PRH17432,V-32 M-1A,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Brassolaeliocattleya,Goldenzelle 'Lemon Chiffon' x Blc. Arom Gold x Blc Ploenpit Golden Delight 4N X Rhyncholaeliocattleya Ingrid de Portilla,H-002443,01-may-23,20-nov-23,PRH17433,V-31 M-47A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Rhyncattleanthe,Burana Beauty 'burana' Hcc / Aos h00120 x Schomburgkia undulata xanthina,H-002445,20-jul-23,21-nov-23,PRH17437,V-0,HUGO ROCANO,1,0,HIBRID_STEFY.XLS
Cattlianthe,Andean Honey x Laeliocattleya Uzhupud Garden,H-002446,23-may-23,21-nov-23,PRH17438,V-0,HUGO ROCANO,1,0,HIBRID_STEFY.XLS
Oncidium,Ecuagenera Dream x Odontioda Auranches 'Sal Gigi' AM/AOS,H-002447,25-nov-22,21-nov-23,PRH17439,V-37 M-1A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Stanhopea,hernandezii x Cirrhaea dependens,H-002449,10-mar-23,21-nov-23,PRH17440,V-16 M-1F,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Anguloa,clowesii X Lycaste Katsuragawa Yellow Bird 'SM/JGP x 'Canary' SM/JOGA,H-002450,15-mar-23,24-nov-23,PRH17443,V-0,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Cattleya,Delta Fire Wing x Brassolaeliocattleya Chyong Guu Swan,H-002451,01-may-23,24-nov-23,PRH17444,V-31 M-49B,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Odontoglossum,Ecuagenera x Oncidium George McMahon 'Fortuna',H-002452,04-nov-22,28-nov-23,PRH17447,V-37 M-1A,CARLOS GUACHISACA,3,0,HIBRID_STEFY.XLS
Potinara,Irene Fell Ruby Red x Cattleya Misty Girl Autumn Symphony 4385,H-002453,26-Dec-22,04-Dec-23,PRH17551,V-0,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Brassolaeliocattleya,Waianae Leopard Ching Hua M127 x Blc. Dewy Forest Blumen Insel X Ctt. Andean Honey 'Cholita Cuencana',H-002454,23-jun-23,04-Dec-23,PRH17552,V-31 M-49B,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Cattleya,Adrienne de Wavrin x Schomburgkia splendida,H-002455,02-jun-23,04-Dec-23,PRH17553,V-31 M-49B,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Burrageara,Sunkissed 'Buttercup' x Oncidium Lucy Roessiger,H-002456,12-sep-23,05-Dec-23,PRH17554,V-37 M-1A,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Odontoglossum,Ecuagenera x Odontioda Arachne 'Sal Gigi' AM/AOS,H-002457,25-nov-22,05-Dec-23,PRH17555,V-37 M-1A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Laeliocattleya,Eduardo Andrade x Cattlianthe Vito Muñoz,H-002458,25-jul-23,05-Dec-23,PRH17557,V-0,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Stanhopea,Azuay x Stanhopea tigrina,H-002459,30-may-23,06-Dec-23,PRH17558,V-37 M-12A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Batemannia,colleyi x Coryanthes alborosea,H-002461,14-jul-23,07-Dec-23,PRH17560,V-0,FLAVIO GOMEZ,1,0,HIBRID_STEFY.XLS
Pescatoria,sp ec x Ixyophora carinata,H-002462,14-jul-23,07-Dec-23,PRH17561,V-0,FLAVIO GOMEZ,1,0,HIBRID_STEFY.XLS
Rhyncholaeliocattley,Maria Brown x Laeliocattleya Mildred Rives,H-002463,03-may-23,08-Dec-23,PRH17562,V-31 M-49B,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Cattlianthe,Andean Honey 'Gualaceo' X Potinara Roy's Magic x C. aurantiaca red 'Queen' x C. Mishima Spots 'Rio Amarillo',H-002464,30-jun-23,08-Dec-23,PRH17563,V-31 M-50B,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Oncidium,Tiger Brew x Oncostele Catatante Pacific Command Taida Sunset,H-002465,05-Dec-22,08-Dec-23,PRH17564,V-37 M-5C,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Brassolaeliocattleya,Goldenzelle 'Lemon Chiffon' x Laeliocattleya Waxy Jairak,H-002460,03-jun-23,06-Dec-23,PRH17565,V-0,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Koellensteinia,graminea big form x Batemannia colleyi,H-002466,17-Aug-23,13-Dec-23,PRH17567,V-0,PORTILLA IVAN,1,0,HIBRID_STEFY.XLS
Laeliocattleya,Uzhupud Garden X Cattleya milleri x Laelia jongheana,H-002467,30-Aug-23,13-Dec-23,PRH17568,V-0,PORTILLA IVAN,1,0,HIBRID_STEFY.XLS
Rhyncattleanthe,Ecuagenera Dream 'Uzhupud' X Potinara Roy's Magic x C. aurantiaca red 'Queen' x C. Mishima Spots,H-002468,26-jun-23,15-Dec-23,PRH17576,V-31 M-50B,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Coryanthes,alborosea x Stanhopea pulla,H-002469,19-oct-23,18-Dec-23,PRH17579,V-0,GUSTAVO PILLAJO,1,0,HIBRID_STEFY.XLS
Cattleya,Patricio Almeida 'Ecuagenera' x Cattlianthe Vito Muñoz,H-002470,27-jun-23,19-Dec-23,PRH17597,V-31 M-50B,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Cattleya,Gemma (1899) x Rhyncattleanthe Ecuagenera Dream,H-002471,10-Apr-23,21-Dec-23,PRH17601,V-0,FLAVIO GOMEZ,1,0,HIBRID_STEFY.XLS
Rhyncholaeliocattley,Maria Brown x Laeliocattleya Carmela Mildred,H-002472,03-mar-23,26-Dec-23,PRH17602,V-0,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Rhyncholaeliocattley,Ivan Portilla x Rhyncholaeliocattleya El Cisne,H-002473,01-sep-23,26-Dec-23,PRH17603,V-34 M-23A,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Cattlianthe,Vito Munoz 'Ecuagenera' X Lc. Aussie Sunset 'cosmic Fire' x P. Irene Fell Ruby Red,H-002474,26-jun-23,26-Dec-23,PRH17604,V-31 M-50B,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Rhyncholaeliocattley,Village Chief Chanel x Cattleya Chocolate Drop Kodama Am/aos X Lc. Aussie Sunset 'cosmic Fire' x P. Irene Fell Ruby Red,H-002476,26-jun-23,26-Dec-23,PRH17605,V-31 M-51B,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Rhyncholaeliocattley,Memoria Julio Vinueza x Schomburgkia splendida,H-002477,02-jun-23,26-Dec-23,PRH17606,V-31 M-48B,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Psychopsis,versteegiana x Rodriguezia batemanii,H-002478,28-sep-23,29-Dec-23,PRH17607,V-0,JORGE CASTILLO,1,0,HIBRID_STEFY.XLS
Rossioglossum,ampliatum x Zelenkoa onusta,H-002479,28-sep-23,28-Dec-23,PRH17616,V-5 M-1B,CARLOS GUACHISACA,5,0,HIBRID_STEFY.XLS
Rhyncholaeliocattley,Ivan Portilla 'Montañita´ X Sophrolaeliocattleya Kauai Starbright x Netre Sir x Slc. Fire Magic Solar Flame,H-002480,28-Aug-23,28-Dec-23,PRH17617,V-31 M-50B,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Acemannia,Linear Spots X Stanhopea Gualaceo x Stanhopea nigra,H-002481,04-Apr-23,28-Dec-23,PRH17618,V-16 M-1F,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Oncidium,Liz Johnson x Oncidium Ecuagenera Dream,H-002482,25-nov-22,05-Jan-24,PRH17621,V-0,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Oncidium,Lucy Roessiger x Oncidium Cholita Cuencana,H-002483,12-sep-23,05-Jan-24,PRH17622,V-37 M-1A,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Oncidopsis,Enzan Fantasy x Oncidium Gladys Eljuri,H-002484,16-feb-23,05-Jan-24,PRH17623,V-37 M-1A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Coryanthes,alborosea alba x Stanhopea candida,H-002485,10-nov-23,05-Jan-24,PRH17624,V-0,JORGE CASTILLO,2,0,HIBRID_STEFY.XLS
Psychopsis,versteegiana x Gomesa longipes,H-002486,21-sep-23,05-Jan-24,PRH17625,V-0,JORGE CASTILLO,1,0,HIBRID_STEFY.XLS
Phragmipedium,Vingtaine des Mathias x Phragmipedium besseae,H-002487,29-sep-23,10-Jan-24,PRH17671,V-34 M-6A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Cattlianthe,Andean Honey 'Cholita Cuencana' x Sophrolaeliocattleya Magic Solar Flare 'Tokyo Magic',H-002489,16-jul-23,16-Jan-24,PRH17673,V-31 M-19A,CARLOS GUACHISACA,4,0,HIBRID_STEFY.XLS
Brassolaeliocattleya,Louis Joyana West x Blc. Pamela X Blc. Mishima Luminous x Blc. Mahina Yahiro,H-002490,28-Jan-23,16-Jan-24,PRH17674,V-31 M-45B,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Cattleya,percivaliana ('Centro Remolacha' x 'Union') x C. dormaniana,H-002491,08-feb-23,16-Jan-24,PRH17675,V-32 M-1A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Caucaea,sanguinolenta x Cyrtochilum edwardii,H-002492,25-jul-23,17-Jan-24,PRH17676,V-25 M-1B,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Oncidium,Tiger Brew x Oncidium Liz Johnson,H-002493,19-Dec-22,19-Jan-24,PRH17677,V-37 M-5C,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Phragmipedium,Apopka 'ramose' x Phragmipedium besseae var dalessandroi,H-002495,29-sep-23,10-Jan-24,PRH17679,V-34 M-19A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Brassolaeliocattleya,Goldenzelle 'Lemon Chiffon' x Blc. Haadyai Delight x Blc. Shifong Purple x C. dowiana X Rhyncholaeliocattleya Zamora,H-002488,20-Aug-23,12-Jan-24,PRH17672,V-0,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Cattlianthe,Andean Honey 'Pangui' x Rhyncattleanthe Ecuagenera Dream 'Sensacion',H-002496,21-jul-23,23-Jan-24,PRH17700,V-31 M-50B,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Sarcochilus,Yellow Hart X Sarcochilus Nelligen #1 x Sarcochilus George Colthup 'Lloyd',H-002497,21-jul-23,23-Jan-24,PRH17701,V-0,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Ixyophora,carinata x Galeottia negrensis,H-002498,15-sep-23,23-Jan-24,PRH17702,V-0,ANDRES FLORES,1,0,HIBRID_STEFY.XLS
Paphinia,hirtzii x Stanhopea embreei,H-002499,04-may-23,23-Jan-24,PRH17703,V-0,ANDRES FLORES,1,0,HIBRID_STEFY.XLS
Chaubardiella,dalessandroi x Promenaea rollissonii,H-002500,31-Aug-23,23-Jan-24,PRH17704,V-0,ANDRES FLORES,1,0,HIBRID_STEFY.XLS
Bifrenaria,aureofulva x Mormolyca acutifolia,H-002501,15-sep-23,23-Jan-24,PRH17705,V-0,ANDRES FLORES,1,0,HIBRID_STEFY.XLS
Masdevallia,Falcata x Masd. MacInnes' Golden Heart H12 X Masdevallia Denis Roessiger,H-002502,11-sep-23,24-Jan-24,PRH17706,V-0,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Psychopsis,versteegiana x Rodriguezia strobelii,H-002503,05-Apr-23,26-Jan-24,PRH17712,V-0,PORTILLA IVAN,1,0,HIBRID_STEFY.XLS
Lockhartia,parthenoglossa x Rodriguezia lanceolata,H-002504,17-nov-23,27-Jan-24,PRH17713,V-0,JORGE CASTILLO,1,0,HIBRID_STEFY.XLS
Rhyncholaeliocattley,Hawaiian Prominence America x Rhyncholaeliocattleya Ilha Santa Maria,H-002505,14-jul-23,29-Dec-23,PRH17714,V-0,JORGE CASTILLO,1,0,HIBRID_STEFY.XLS
Rhyncattleanthe,Ecuagenera Dream x Cattlianthe Vito Muñoz,H-002506,24-jul-23,30-Jan-24,PRH17715,V-31 M-49B,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Rodriguezia,lanceolata x Rodriguezia satipoana,H-002507,10-nov-23,01-feb-24,PRH17716,V-5 M-2A,CARLOS GUACHISACA,4,0,HIBRID_STEFY.XLS
Potinara,Ruby Ace 'Abe' x Prosthechea crassilabia,H-002508,30-Aug-23,03-feb-24,PRH17717,V-0,HENRY LOZANO,1,0,HIBRID_STEFY.XLS
Rhyncholaeliocattley,El Cisne x Laeliocattleya Carmela Mildred,H-002509,03-may-23,15-feb-24,PRH17768,V-0,CARLOS GUACHISACA,2,0,HIBRID_STEFY.XLS
Odontioda,Gale Gettel rustic Canyon x Oda Petit Port woosley Hcc (hl1492) x Odontioda Leon,H-002510,11-Apr-23,15-feb-24,PRH17769,V-0,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Brassavola,nodosa x Barkeria spectabilis,H-002511,14-feb-23,16-feb-24,PRH17771,V-5 M-2C,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Paphinia,cristata X Stanhopea Lydia Bush x Stanhopea Dachart,H-002512,05-Dec-23,17-feb-24,PRH17772,V-0,HUGO ROCANO,1,0,HIBRID_STEFY.XLS
