F.SIEMBRA;CODIGO;ESPECIE;CLIMA;UBICACI;RESPONSABLE;S.VANA;S.STOCK;C.SOLIC;DISPONE;F.GERMI;E.CAPSU
28/7/2015;PRS3396-012    ;Acianthera polystachya type red leaf;Intermedio ;P-101 N-A   ;MANUEL RUIZ         ;  ;0;400;0;2/10/2015;Cerrada   
19/9/2014;PRS10070       ;Acianthera prolifera;Warm ;P-101 N-E   ;MANUEL RUIZ         ;  ;1;500;0;10/10/2014;Cerrada   
19/7/2017;PRS10070       ;Acianthera prolifera;Warm ;P-101 N-A   ;MANUEL RUIZ         ;  ;0;500;0;1/9/2017;Cerrada   
17/1/2017;PRS1556        ;Acianthera pubescens;IW;P-116 N-D   ;MANUEL RUIZ         ;  ;0;700;0;-;Cerrada   
30/6/2015;PRS1556        ;Acianthera pubescens;IW;P-101 N-D   ;MANUEL RUIZ         ;  ;0;700;0;7/8/2015;Cerrada   
23/5/2014;PRS1561        ;Acianthera quadriserrata;IW;P-101 N-C   ;ANTONIO TENELANDA   ;  ;0;600;0;-;Cerrada   
26/8/2014;PRS1561        ;Acianthera quadriserrata;IW;P-116 N-D   ;MANUEL RUIZ         ;  ;0;600;0;-;Cerrada   
23/10/2017;PRS1561        ;Acianthera quadriserrata;IW;P-101 N-C   ;MANUEL RUIZ         ;  ;1;600;0;-;Abierta   
8/12/2015;PRS1561        ;Acianthera quadriserrata;IW;P-116 N-F   ;MANUEL RUIZ         ;  ;1;600;0;4/3/2016;Cerrada   
21/8/2012;PRS1561-002    ;Acianthera quadriserrata 001114;IW;P-116 N-D   ;ANTONIO TENELANDA   ;  ;0;      ;0;-;Cerrada   
13/4/2011;PIS1571        ;Acianthera saurocephala;Warm ;P-119 N-F   ;ANTONIO TENELANDA   ;  ;1;      ;0;-;Cerrada   
9/5/2012;PIS1571-001    ;Acianthera saurocephala;Warm ;P-101 N-E   ;ANTONIO TENELANDA   ;  ;1;      ;0;-;Cerrada   
21/6/2012;PIS1571        ;Acianthera saurocephala;Warm ;P-          ;                    ;  ;1;      ;0;-;Cerrada   
13/7/2012;PRS5242-001    ;Acianthera sonderiana ´Gigi`;Warm ;P-101 N-C   ;ANTONIO TENELANDA   ;  ;0;600;0;-;Cerrada   
31/7/2012;PRS5242-001    ;Acianthera sonderiana ´Gigi`;Warm ;P-102 N-E   ;ANTONIO TENELANDA   ;  ;0;600;0;-;Cerrada   
